uf,cargo,nome_citado,partido_citado,id_tse,slug,nome_urna,status,motivo,natureza,medida,posicao,percentual,instituto,contratante,registro_tse,campo_inicio,campo_fim,entrevistas,margem,confianca,coleta,tipo,fonte,fonte_url,data_acesso
RJ,depfed,Gutemberg Reis,MDB,190002539336,,GUTEMBERG REIS,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Henrique Vieira,PSOL,190002536145,,PASTOR HENRIQUE VIEIRA,resolvido,"nome civil da matéria dentro do nome completo registrado; concorre como ""PASTOR HENRIQUE VIEIRA""",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Jandira Feghali,PCDOB,190002543096,,JANDIRA FEGHALI,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Jorge Miranda,PL,190002532823,,JORGE MIRANDA,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Juninho do Pneu,PSDB,190002550520,,JUNINHO DO PNEU,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Lindbergh Farias,PT,190002543101,,LINDBERGH,resolvido,"nome civil da matéria dentro do nome completo registrado; concorre como ""LINDBERGH""",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Luciano Vieira,PSDB,190002550510,,LUCIANO VIEIRA,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Luis Carlos Gomes,REPUBLICANOS,190002543363,,LUIS CARLOS GOMES,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Luiz Lima,NOVO,190002534633,,LUIZ LIMA,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depfed,Manoela Peres,PL,190002532804,,MANOELA PERES,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
