uf,slug,nome_urna,nome_completo,verbete,pontuacao,trecho,status
RJ,rj-dep-est-valdecy-da-saude,VALDECY DA SAÚDE,VALDECIR DIAS DA SILVA,Valdecy da Saúde,12,"Valdecir Dias da Silva (Duque de Caxias, 5 de setembro de 1970), conhecido como Valdecy da Saúde, é um servidor público e político brasileiro, filiado ao Partido Liberal (PL). Está no segundo mandato ",aceito
RJ,rj-dep-est-india-armelau,ÍNDIA ARMELAU,AMANDA BRANDÃO PAES ARMELAU,,5,"Amanda Brandao Armelau, mais conhecida como Índia Armelau (Manaus, 20 de janeiro de 1988), é uma ex-nadadora e política brasileira, filiada ao Partido Liberal (PL). Atualmente é deputada estadual do R",sem verbete localizado
RJ,rj-dep-est-conrado,CONRADO,CONRADO FERNANDES ANTUNES,,2,Conrado pode referir-se a:,sem verbete localizado
RJ,rj-dep-est-ines-brasil,INÊS BRASIL,INES TANIA LIMA DA SILVA,Inês Brasil,9,"Inês Tânia Lima da Silva, mais conhecida como Inês Brasil (Rio de Janeiro, 25 de outubro de 1969), é uma cantora, dançarina, personalidade de televisão e youtuber brasileira. Inês ganhou notoriedade a",aceito
RJ,rj-dep-est-mc-smith,MC SMITH,WALLACE FERREIRA DA MOTA,,1,"MC Smith, nome artístico de Wallace Ferreira da Mota (Rio de Janeiro, 18 de maio de 1987), é um cantor, compositor de funk proibidão e jogador de futebol society. Ficou conhecido pelas canções, ""Vida ",sem verbete localizado
RJ,rj-dep-fed-altineu-cortes,ALTINEU CORTES,ALTINEU CORTES FREITAS COUTINHO,Altineu Côrtes,12,"Altineu Côrtes Freitas Coutinho (Niterói, 13 de setembro de 1968) é um empresário e político brasileiro, filiado ao Partido Liberal (PL) Atualmente, exerce o cargo de Primeiro Vice-Presidente da Câmar",aceito
RJ,rj-dep-fed-chico-alencar,CHICO ALENCAR,FRANCISCO RODRIGUES DE ALENCAR FILHO,Chico Alencar,12,"Francisco Rodrigues de Alencar Filho, conhecido como Chico Alencar (Rio de Janeiro, 19 de outubro de 1949) é um historiador, professor e político brasileiro, filiado ao Partido Socialismo e Liberdade ",aceito
RJ,rj-dep-fed-delegada-martha-rocha,DELEGADA MARTHA ROCHA,MARTHA MESQUITA DA ROCHA,,2,"Martha Mesquita da Rocha (Rio de Janeiro, 30 de abril de 1959), conhecida como Delegada Martha Rocha é uma ex-delegada de polícia e política brasileira, filiada ao Partido Democrático Trabalhista. Atu",sem verbete localizado
RJ,rj-dep-fed-general-pazuello,GENERAL PAZUELLO,EDUARDO PAZUELLO,Eduardo Pazuello,12,"Eduardo Pazuello GCMA (Rio de Janeiro, 19 de julho de 1963) é um político brasileiro e general de divisão do Exército Brasileiro. Atualmente é deputado federal pelo estado do Rio de Janeiro. Foi minis",aceito
RJ,rj-dep-fed-jandira-feghali,JANDIRA FEGHALI,JANDIRA FEGHALI,Jandira Feghali,12,"Jandira Feghali (Curitiba, 17 de maio de 1957) é uma médica, videasta e política brasileira filiada ao Partido Comunista do Brasil (PCdoB). Construiu sua carreira política pelo estado do Rio de Janeir",aceito
RJ,rj-dep-fed-soraya-santos,SORAYA SANTOS,SORAYA ALENCAR DOS SANTOS,Soraya Santos,12,"Soraya Alencar dos Santos (Macaé, 4 de dezembro de 1958), é uma advogada e política brasileira. Filiada ao Partido Liberal (PL), é deputada federal pelo estado do Rio de Janeiro.",aceito
RJ,rj-dep-fed-sostenes-cavalcante,SÓSTENES CAVALCANTE,SÓSTENES SILVA CAVALCANTE,Sóstenes Cavalcante,12,"Sóstenes Silva Cavalcante (Maceió, 16 de janeiro de 1975) é um pastor evangélico, teólogo e político brasileiro, filiado ao Partido Liberal (PL). Está no terceiro mandato como deputado federal pelo es",aceito
RJ,rj-dep-fed-taliria-petrone,TALÍRIA PETRONE,TALÍRIA PETRONE SOARES,Talíria Petrone,12,"Talíria Petrone Soares (Niterói, 9 de abril de 1985) é uma professora, política e ativista brasileira. Exerceu o mandato de vereadora pelo Partido Socialismo e Liberdade (PSOL) na Câmara Municipal de ",aceito
RJ,rj-dep-fed-tarcisio-motta,TARCÍSIO MOTTA,TARCISIO MOTTA DE CARVALHO,Tarcísio Motta,12,"Tarcísio Motta de Carvalho (Petrópolis, 28 de janeiro de 1975), mais conhecido como Tarcísio Motta, é um professor e político brasileiro filiado ao Partido Socialismo e Liberdade (PSOL). Desde 2023, é",aceito
RJ,rj-dep-fed-andrea-sorvetao,ANDREA SORVETÃO,ANDREA MARIA DE FARIA ANTUNES,Andréa Sorvetão,9,"Andrea Maria de Faria Antunes (Rio de Janeiro, 1 de agosto de 1973), mais conhecida pelo nome artístico de Andréa Sorvetão, é uma empresária, atriz e apresentadora brasileira, nacionalmente conhecida ",aceito
RJ,rj-dep-fed-antonia-fontenelle,ANTÔNIA FONTENELLE,ANTONIA FONTENELE DE BRITO,,2,"Antonia Fontenele de Britto (Brasília, 19 de abril de 1973), conhecida como Antônia Fontenelle é uma youtuber, vlogueira, atriz e personalidade de televisão brasileira filiada ao Partido da Social Dem",sem verbete localizado
RJ,rj-dep-fed-benny-briolly,BENNY BRIOLLY,BENNY BRIOLLY ROSA DA SILVA SANTOS,,5,"Benny Briolly (Niterói, 29 de outubro de 1991) é uma política e ativista, filiada ao Partido dos Trabalhadores (PT). Nas eleições municipais de 2020 foi eleita a primeira vereadora travesti/transexual",sem verbete localizado
RJ,rj-dep-fed-cristina-mel,CRISTINA MEL,MARIA CRISTINA MEL DE ALMEIDA COSTA,Cristina Mel,9,"Maria Cristina Mel de Almeida Costa (Rio de Janeiro, 10 de março de 1964) é uma cantora brasileira de música cristã contemporânea. Foi indicada ao Grammy Latino quatro vezes e é dezesseis vezes venced",aceito
RJ,rj-dep-fed-darlan-praxedes,DARLAN PRAXEDES,DARLAN PRAXEDES DA COSTA CABISTANI,,-8,"Rômulo Barreto de Almeida (Salvador, 18 de agosto de 1914 — Belo Horizonte, 23 de novembro de 1988) foi um político, economista, escritor e professor brasileiro. Após pertencer à Ação Integralista Bra",sem verbete localizado
RJ,rj-dep-fed-edmundo,EDMUNDO,EDMUNDO ALVES DE SOUZA NETO,,-5,"Edmundo da Luz Pinto (Rio de Janeiro, 5 de janeiro de 1898 — 15 de julho de 1963) foi um advogado e político brasileiro.",sem verbete localizado
RJ,rj-dep-fed-freixo,FREIXO,MARCELO RIBEIRO FREIXO,Marcelo Freixo,12,"Marcelo Ribeiro Freixo (São Gonçalo, 12 de abril de 1967) é um professor e político brasileiro, filiado ao Partido dos Trabalhadores (PT). Foi deputado estadual do Rio de Janeiro de 2007 a 2019, deput",aceito
RJ,rj-dep-fed-humberto-martins,HUMBERTO MARTINS,HUMBERTO MARTINS DUARTE,,1,"Humberto Martins Duarte (Nova Iguaçu, 14 de abril de 1961) é um ator brasileiro. Tornou-se conhecido a partir da década de 90 ao atuar em diversas telenovelas da TV Globo, geralmente em papéis de ""gal",sem verbete localizado
RJ,rj-dep-fed-thiago-gagliasso,THIAGO GAGLIASSO,THIAGO GAGLIASSO ONOFRE FERREIRA,Thiago Gagliasso,12,"Thiago Gagliasso Onofre Ferreira (Rio de Janeiro, 9 de junho de 1989) é um ator, produtor de eventos e político brasileiro, filiado ao Partido Liberal (PL). É irmão caçula do também ator Bruno Gaglias",aceito
SP,sp-dep-est-ana-carolina-serra,ANA CAROLINA SERRA,ANA CAROLINA ROSSI BARRETO SERRA,Ana Carolina Serra,12,"Ana Carolina Rossi Barreto Serra (Santo André, 14 de abril de 1979), mais conhecida como Ana Carolina Serra, é uma advogada, professora brasileira e Mestre em Direito das Relações Sociais. Filiada ao ",aceito
SP,sp-dep-est-barba,BARBA,TEONILIO MONTEIRO DA COSTA,Teonilio Barba,12,"Teonilio Monteiro da Costa (Água Boa, 8 de julho de 1958), mais conhecido como Teonilio Barba ou apenas Barba, é um metalúrgico, sindicalista e político brasileiro, filiado ao Partido dos Trabalhadore",aceito
SP,sp-dep-est-carla-morando,CARLA MORANDO,CARLA SARDANO MORANDO,Carla Morando,12,"Carla Sardano Morando (São Caetano do Sul, 8 de outubro de 1974) mais conhecida como Carla Morando é uma fisioterapeuta, empresária e política brasileira filiada ao Partido Social Democrático. Está no",aceito
SP,sp-dep-est-ediane-maria,EDIANE MARIA,EDIANE MARIA DO NASCIMENTO,Ediane Maria,12,"Ediane Maria do Nascimento (Floresta, 10 de outubro de 1983), ou apenas Ediane Maria, é uma trabalhadora doméstica e política brasileira, filiada ao Partido Socialismo e Liberdade (PSOL), fundadora do",aceito
SP,sp-dep-est-itamar-borges,ITAMAR BORGES,ITAMAR FRANCISCO MACHADO BORGES,Itamar Borges,12,"Itamar Francisco Machado Borges (Santa Fé do Sul, 21 de dezembro de 1969) é um advogado e político brasileiro, filiado ao Movimento Democrático Brasileiro (MDB). Deputado estadual em quarto mandato e ",aceito
SP,sp-dep-est-luiz-fernando,LUIZ FERNANDO,LUIZ FERNANDO TEIXEIRA FERREIRA,Luiz Fernando Teixeira,12,"Luiz Fernando Teixeira Ferreira (Águas da Prata, 10 de setembro de 1962) é um empresário, dirigente esportivo e político brasileiro, filiado ao Partido dos Trabalhadores (PT). Atualmente exerce o terc",aceito
SP,sp-dep-est-oseias-de-madureira,OSEIAS DE MADUREIRA,OSEIAS SANTOS DA SILVA,,5,"Oseias de Madureira (São Bernardo do Campo), é um pastor evangélico e político brasileiro, filiado ao PL. Nas eleições de 2022, foi eleito deputado estadual por SP.",sem verbete localizado
SP,sp-dep-est-romulo,RÔMULO,ROMULO CESAR FERNANDES,Rômulo Fernandes,12,"Rômulo Cesar Fernandes (Santa Fé do Sul, 8 de fevereiro de 1963), mais conhecido como Rômulo Fernandes, é um sociólogo e político brasileiro, filiado ao Partido dos Trabalhadores (PT). Nas eleições de",aceito
