uf,cargo,turno,instituto,contratante,data_ref,data_divulgacao,campo_inicio,campo_fim,amostra,margem_erro,metodologia,registro_tse,cenario,principal,candidato,partido,slug,percentual,fonte,url,revid
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,1,1,Alan Rick,Republicanos,ac-gov-alan-rick,40.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,1,1,Tião Bocalom,PL,ac-gov-tiao-bocalom,24.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,1,1,Mailza Assis,PP,ac-gov-mailza-assis,15.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,1,1,Thor Dantas,PSB,ac-gov-thor-dantas,5.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,2,0,Alan Rick,Republicanos,ac-gov-alan-rick,51.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,2,0,Mailza Assis,PP,ac-gov-mailza-assis,21.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,2,0,Thor Dantas,PSB,ac-gov-thor-dantas,6.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,3,0,Alan Rick,Republicanos,ac-gov-alan-rick,46.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,3,0,Tião Bocalom,PL,ac-gov-tiao-bocalom,30.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,Real Time Big Data,,2025-12-12,,2025-12-11,2025-12-12,1200,3.0,,,3,0,Thor Dantas,PSB,ac-gov-thor-dantas,6.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,TV Gazeta,Delta,2026-03-21,,2026-03-16,2026-03-21,1006,3.1,,,1,1,Alan Rick,Republicanos,ac-gov-alan-rick,40.36,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
AC,governador,1,TV Gazeta,Delta,2026-03-21,,2026-03-16,2026-03-21,1006,3.1,,,1,1,Mailza Assis,PP,ac-gov-mailza-assis,20.78,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Acre",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Acre,72909517
