uf,cargo,turno,instituto_bruto,campo_inicio,campo_fim,amostra,margem_erro,cenario,candidato,partido,percentual,outros,indecisos,secao,tabela,ordem_col,pagina,revid
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Cleitinho,Republicanos,35.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Patrus Ananias,PT,15.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Alexandre Kalil,PDT,13.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Mateus Simões,PSD,11.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Gabriel Azevedo,MDB,7.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,9,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Flávio Roscoe,PL,5.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-08-22,2026-08-26,2000,2.0,1,Ben Mendes,MISSÃO,3.0,1.0,10.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Cleitinho,Republicanos,29.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Patrus Ananias,PT,11.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Alexandre Kalil,PDT,10.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Mateus Simões,PSD,7.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Gabriel Azevedo,MDB,5.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,9,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Flávio Roscoe,PL,3.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-08-21,2026-08-24,1506,3.0,1,Ben Mendes,MISSÃO,2.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Datafolha,2026-08-18,2026-08-20,1204,3.0,1,Cleitinho,Republicanos,32.0,4.0,27.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Datafolha,2026-08-18,2026-08-20,1204,3.0,1,Patrus Ananias,PT,12.0,4.0,27.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Datafolha,2026-08-18,2026-08-20,1204,3.0,1,Alexandre Kalil,PDT,12.0,4.0,27.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Datafolha,2026-08-18,2026-08-20,1204,3.0,1,Mateus Simões,PSD,4.0,4.0,27.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Datafolha,2026-08-18,2026-08-20,1204,3.0,1,Gabriel Azevedo,MDB,4.0,4.0,27.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,9,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Datafolha,2026-08-18,2026-08-20,1204,3.0,1,Flávio Roscoe,PL,4.0,4.0,27.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Datafolha,2026-08-18,2026-08-20,1204,3.0,1,Ben Mendes,MISSÃO,1.0,4.0,27.0,Primeiro Turno (Governador) > 2026 > Agosto - Outubro,1,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,1,Cleitinho,Republicanos,36.0,8.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,1,Alexandre Kalil,PDT,15.0,8.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,1,Mateus Simões,PSD,10.0,8.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,1,Gabriel Azevedo,MDB,7.0,8.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,1,Ben Mendes,MISSÃO,1.0,8.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,1,Patrus Ananias,PT,14.0,8.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,2,Cleitinho,Republicanos,37.0,7.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,2,Alexandre Kalil,PDT,15.0,7.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,2,Mateus Simões,PSD,10.0,7.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,2,Gabriel Azevedo,MDB,7.0,7.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,2,Ben Mendes,MISSÃO,1.0,7.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,2,Patrus Ananias,PT,14.0,7.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,3,Cleitinho,Republicanos,38.0,5.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,3,Alexandre Kalil,PDT,15.0,5.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,3,Mateus Simões,PSD,11.0,5.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,3,Gabriel Azevedo,MDB,7.0,5.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,3,Ben Mendes,MISSÃO,1.0,5.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,3,Patrus Ananias,PT,14.0,5.0,9.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,4,Alexandre Kalil,PDT,20.0,5.0,24.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,4,Mateus Simões,PSD,10.0,5.0,24.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,4,Gabriel Azevedo,MDB,8.0,5.0,24.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,4,Marcelo Aro,PP,15.0,5.0,24.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,9,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,4,Ben Mendes,MISSÃO,1.0,5.0,24.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-07-25,2026-07-29,2000,2.0,4,Patrus Ananias,PT,17.0,5.0,24.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,1,Cleitinho,Republicanos,35.0,3.0,28.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,1,Alexandre Kalil,PDT,12.0,3.0,28.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,1,Mateus Simões,PSD,6.0,3.0,28.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,1,Gabriel Azevedo,MDB,4.0,3.0,28.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,1,Ben Mendes,MISSÃO,2.0,3.0,28.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,2,Cleitinho,Republicanos,34.0,3.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,2,Alexandre Kalil,PDT,12.0,3.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,2,Mateus Simões,PSD,6.0,3.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,2,Gabriel Azevedo,MDB,4.0,3.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,2,Ben Mendes,MISSÃO,2.0,3.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,2,Patrus Ananias,PT,10.0,3.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,3,Cleitinho,Republicanos,35.0,1.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,3,Alexandre Kalil,PDT,12.0,1.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,3,Mateus Simões,PSD,7.0,1.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,3,Gabriel Azevedo,MDB,4.0,1.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,3,Ben Mendes,MISSÃO,2.0,1.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,3,Patrus Ananias,PT,10.0,1.0,29.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,4,Alexandre Kalil,PDT,15.0,5.0,30.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,4,Mateus Simões,PSD,9.0,5.0,30.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,4,Gabriel Azevedo,MDB,6.0,5.0,30.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,4,Ben Mendes,MISSÃO,2.0,5.0,30.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,4,Patrus Ananias,PT,13.0,5.0,30.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,5,Alexandre Kalil,PDT,15.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,5,Mateus Simões,PSD,9.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,5,Gabriel Azevedo,MDB,6.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,5,Ben Mendes,MISSÃO,1.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Genial/Quaest,2026-07-22,2026-07-26,1482,3.0,5,Patrus Ananias,PT,13.0,2.0,31.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,IPAN/Panorama,2026-06-17,2026-06-23,1600,2.45,1,Cleitinho,Republicanos,37.56,4.63,29.25,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,IPAN/Panorama,2026-06-17,2026-06-23,1600,2.45,1,Alexandre Kalil,PDT,11.06,4.63,29.25,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,IPAN/Panorama,2026-06-17,2026-06-23,1600,2.45,1,Mateus Simões,PSD,2.06,4.63,29.25,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,IPAN/Panorama,2026-06-17,2026-06-23,1600,2.45,1,Gabriel Azevedo,MDB,1.25,4.63,29.25,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,IPAN/Panorama,2026-06-17,2026-06-23,1600,2.45,1,Ben Mendes,MISSÃO,2.5,4.63,29.25,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,IPAN/Panorama,2026-06-17,2026-06-23,1600,2.45,1,Patrus Ananias,PT,11.69,4.63,29.25,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,1,Cleitinho,Republicanos,27.7,6.8,31.6,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,1,Alexandre Kalil,PDT,18.3,6.8,31.6,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,1,Mateus Simões,PSD,3.7,6.8,31.6,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,1,Gabriel Azevedo,MDB,4.5,6.8,31.6,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,1,Marcelo Aro,PP,5.1,6.8,31.6,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,9,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,1,Ben Mendes,MISSÃO,2.3,6.8,31.6,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,2,Cleitinho,Republicanos,28.8,11.0,29.1,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,2,Alexandre Kalil,PDT,20.5,11.0,29.1,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,2,Mateus Simões,PSD,3.9,11.0,29.1,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,2,Gabriel Azevedo,MDB,3.4,11.0,29.1,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,DataTempo,2026-06-15,2026-06-17,1000,3.1,2,Ben Mendes,MISSÃO,3.3,11.0,29.1,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,10,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,1,Cleitinho,Republicanos,35.0,5.0,12.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,1,Alexandre Kalil,PDT,15.0,5.0,12.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,1,Mateus Simões,PSD,14.0,5.0,12.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,1,Gabriel Azevedo,MDB,11.0,5.0,12.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,1,Marcelo Aro,PP,6.0,5.0,12.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,9,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,1,Patrus Ananias,PT,2.0,5.0,12.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,2,Cleitinho,Republicanos,39.0,4.0,16.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,2,Mateus Simões,PSD,17.0,4.0,16.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,2,Gabriel Azevedo,MDB,13.0,4.0,16.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,8,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,2,Marcelo Aro,PP,8.0,4.0,16.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,9,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Real Time Big Data,2026-05-19,2026-05-20,1600,2.0,2,Patrus Ananias,PT,3.0,4.0,16.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,11,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Doxa,2026-05-01,2026-05-03,1500,2.53,1,Cleitinho,Republicanos,28.0,1.0,31.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,5,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Doxa,2026-05-01,2026-05-03,1500,2.53,1,Alexandre Kalil,PDT,6.0,1.0,31.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,6,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
MG,governador,1,Doxa,2026-05-01,2026-05-03,1500,2.53,1,Mateus Simões,PSD,21.0,1.0,31.0,Primeiro Turno (Governador) > 2026 > Janeiro - Julho,2,7,Pesquisas eleitorais para a eleição estadual de 2026 em Minas Gerais,72915416
